"下列哪个条约规定允许外国公使常驻北京【      】   	",单选,A,《天津条约》,《南京条约》,《五口通商章程》,《马关条约》
"允许外国人在中国开办工厂的条约是【       】   	",单选,C,《南京条约》 ,《望厦条约》,《马关条约》,《辛丑条约》
被称为近代中国开眼看世界第一人是【       】 ,单选,B,郑观应 ,林则徐,魏源 ,严复 
"在近代中国首先喊出“振兴中华”口号的是【       】   	",单选,C,康有为,梁启超 ,孙中山,严复
"洪秀全在广西金田村发动起义是在 【  】	",单选,B,1850年,1851年 ,1852年,1853年
"中国历代农民战争的最高峰是【    】 	",单选,B,义和团运动,太平天国运动,辛亥革命,解放战争
"1851年1月，洪秀全在广西领导农民起义的地点是【    】	",单选,A,金田村,永安,安庆,武昌
"太平天国由盛到衰的转折点是【    】  	",单选,C,永安建制,"北伐失利	",天京事变,天京被围
"清朝统治集团中倡导洋务的首领是恭亲王【 】 	",单选,A,奕䜣 ,奕詝,奕譞,奕劻
"洋务运动举办的中国第一个兵工厂是【    】  	",单选,A,曾国藩在安庆创建的军械所,李鸿章在上海创办的江南制造总局,李鸿章在南京创办的金陵机器局,左宗棠在福州创办的马尾船政局 
____ 发表了《驳康有为论革命书》，反对康有为的保皇观点,单选,C,孙中山,邹容,章炳麟,蔡元培
在保路运动期间，四川总督赵尔丰下令军警向手无寸铁的群众开枪，造成 【    】,单选,A,成都血案,五卅惨案,二七惨案 ,下关惨案
保路风潮中，运动最强烈的省份是【    】,单选,D,湖北,湖南,广东,四川
1915年12月25日，【   】在云南宣布独立，护国战争爆发。,单选,C,唐继尧,陆荣廷,蔡锷,黄兴
1917年9月，在广州成立以【    】为大元帅的护法军政府，并出师北伐。,单选,D,汤化龙,黎元洪,焦达峰,孙中山
中国共产党在 1925 年召开了提出无产阶级领导权以及工农联盟问题的【  】,单选,C,中共二大,中共三大,中共四大,中共五大
1928 年 12 月在东北宣布“改易旗帜”、归顺南京国民政府的是【  】,单选,C,张作霖 ,冯玉祥,张学良,冯国璋
以蒋介石为代表的南京国民政府的性质是【  】,单选,C,资产阶级政权,小资产阶级政权,大地主大资产阶级政权,封建君主专制
我国首位进入太空的宇航员是【 】，这一创举使中国成为世界上第【 】个掌握载人航天技术的国家。,单选,A,杨利伟    三  ,费俊龙    四,翟志刚    五,景海鹏    六
【  】年联合国第26届联大，恢复了中华人民共和国在联合国的合法席位。,单选,C,1969,1970,1971,1972
1966-1976年发生的“文化大革命“是一场【 】。,单选,C,一个阶级推翻一个阶级的政治大革命,社会主义道路同资本主义道路的斗争,给党、国家和各族人民带来严重灾难的内乱,社会主义革命
第一个五年计划是在【 】时期完成的。,单选,A,社会主义改造,大跃进运动,开始全面建设社会主义,“文化大革命”
“九一三“事件指的是【 】。,单选,B,“文化大革命“的全面发动 ,林彪反革命集团被粉碎,江青等人“组阁“图谋被挫败,江青反革命集团被粉碎
建国后发生的一次全局性的、长时间的严重的“左“倾错误是【 】。,单选,D,反右派斗争,人民公社化运动,大跃进运动,十年“文化大革命”
