中国新民主主义革命胜利的基本标志是【】。,单选,D,《共同纲领》的颁布,人民解放军占领南京,国民党蒋介石集团逃往台湾,中华人民共和国的成立
新中国成立后的头7年，我国的社会性质是【】。,单选,C,半殖民地半封建社会,资本主义社会,新民主主义社会,社会主义社会
新中国建立初期的剿匪运动，使【】长期危害人民生命财产安全的土匪仅在两年多的时间内被次第肃清。,单选,C,100多万,150多万,180多万,200多万
"1952年，中国共产党在资本主义工商业者中开展了著名的""五反""运动，打击了不法资本家，既维护了工人阶级和国营经济的领导地位，也促进了中国共产党的廉政建设，同时也为工商业的社会主义改造创造了条件下。""五反""的内容是【】。",单选,A,反行贿、反偷税漏税、反盗窃国家财产、反偷工减料、反盗窃经济情报,反贪污、反行贿、反偷税漏税、反盗窃国家财产、反盗窃经济情报,反贪污、反浪费、反官僚主义、反偷工减料、反盗窃经济情报,反贪污、反浪费、反偷税漏税、反偷工减料、反盗窃经济情报
1953年提出来的党在过渡时期的总路线最显著的特点是【】。,单选,B,稳定与发展并举,工业化与三大改造并举,改革与发展并举,建设与发展并举
1953年开始的个体农业的社会主义改造的基本进路是【】。,单选,C,土地改革→个体农民→互助组→农业生产合作社,个体农民→互助组→农业生产合作社→高级社,个体农民→互助组→初级社→高级社,个体农民→互助组→农业生产合作社→人民公社
1953-1956年，我国社会主义改造时期，对资本主义工商业的利润分配方式主要是【】，大大加快了资本主义工商业社会主义改造的步伐。,单选,C,按劳分配,国家5厘给息,"""四马分肥""",国家与企业五五开
"荣毅仁曾说过：""对于我失去的是个人的一些剥削所得，……经过一个公私合营的过程……只要自己努力，完全可以成为光荣的社会主义社会的自食其力的劳动者。""这段话所反映的历史背景是指【】。",单选,C,第一个五年计划开始实施,对计划经济体制的改造取得进展,资本主义工商业的社会主义改造掀起公私合营高潮,手工业的社会主义改造宣告完成
"1954年颁布的我国一部《中华人民共和国宪法》，规定新中国的国家性质是""工人阶级领导的、以工农联盟为基础的【】""。",单选,C,苏维埃国家,工农民主国家,人民民主国家,民主共和国家
我国正式进入社会主义初级阶段的确切时间是在【】。,单选,D,1949年,1953年,1955年,1956年
1956年10月国务院制定了【】，它的实施，填补了我国科学技术领域的许多空白，奠定了新中国在自然科学和工程技术方面的重要基础。,单选,A,《1956-1967年科学技术发展远景规划纲要》,《国土科学技术奖励办法》,《国家科学技术发展规划纲要》,《中华人民共和国科学技术进步法》
党的八大确立的中国社会主义经济建设的基本方针是【】。,单选,A,既反保守又反冒进，在综合平衡中稳步前进,调整、改革、整顿、提高,以农业为基础，以工业为主导,重点发展重工业
1957年，整风运动转入反右派斗争的直接原因是【】。,单选,D,知识分子和民主人士向党提出批评意见,中共中央改变了整风运动的指导思想,党对当时的阶级斗争形势估计过于严重,极少数资产阶级右派分子乘机向党和新生的社会主义制度发动进攻
"20世纪50年代中后期以来我国社会主义经济建设""左""倾错误泛滥的主要表现是【】。",单选,D,严厉批判反冒进,反对唯生产力论,贫穷是社会主义,"高指标、瞎指挥、浮夸风和""共产风"""
"最早纠正大跃进以来经济建设领域""左""倾错误的中央会议是【】。",单选,A,第一次郑州会议,第二次郑州会议,北戴河政治局扩大会议,八届六中全会
"1961年1月，中共八届九中全会为了纠正大跃进以来的""左""的错误，决定对我国国民经济实行【】的""八字方针。",单选,A,调整、巩固、充实、提高,调整、整顿、巩固、提高,调整、改革、充实、提高,改革、整顿、巩固、发展
"1963～1965年城乡社会主义教育运动又称为""四清运动""，后期的主要内容是【】，这场运动使阶级斗争扩大化的""左""倾错误进一步发展。",单选,B,清工分，清账目，清仓库，清财物,清思想，清政治，清组织，清经济,清财物，清思想，清政治，清组织,清政治、清思想、清教育、清文化
"""文化大革命""发动的主要标志是【】。",单选,A,通过《五一六通知》和《关于无产阶级文化大革命的决定》,《评新编历史剧〈海瑞罢官〉》的发表,八届十一中全会的召开,"""中央文化革命小组""的设立"
"人们依稀记得那个疯狂的年代，学校""停课闹革命""，全国上下掀起""大串联""、""知识青年上山下乡""，学生戴着红卫兵的袖标，四处张贴大字报，宣扬所谓""宁要社会主义的草，不要资本主义的苗""，批斗所谓""牛鬼蛇神""。这些现象背后的原因是【】。",单选,D,社会主义三大改造不彻底,"""大跃进""运动和人民公社化运动的未达到预期","""反右倾""运动后，严重出现经济困难","""文化大革命""的极""左""错误"
1976年1月8日，周恩来逝世后，毛泽东提议【】担任中共中央副主席、国务院总理。,单选,A,华国锋,邓小平,叶剑英,陈云
联合国第【】届联大，恢复了中华人民共和国在联合国的合法席位。,单选,D,二十三,二十四,二十五,二十六
1978年3月，第五届全国人民代表大会第一次会议选举【   】为全国人大常委会委员长。,单选,B,华国锋,叶剑英,万里,乔石
1980年2月，中共十一届五中全会决定为【 】彻底平反并恢复名誉，建国后最大的历史沉冤得以昭雪。,单选,B,彭德怀,刘少奇,乌兰夫,陶铸
1978年8月，中日两国签署【】，随后邓小平访问日本，中日睦邻友好关系发展到一个新起点。,单选,A,《中日和平友好条约》,《中日联合声明》,《中日联合宣言》,《中日关于全面推进战略互惠关系的联合声明》
【】在1982年9月召开的中共十二大上被推举为中共中央军事委员会主席、中共中央顾问委员会主任；在次年6月召开的全国人大六届一次会议又被选为中华人民共和国军事委员会主席。,单选,C,邓小平,叶剑英,李先念,陈云
1986年9月中共十二届六中全会和1996年10月的中共十四届六中全会都特别强调要加强社会主义精神文明建设，根本任务是培养【】的社会主义公民，提高整个民族的思想道德和科学文化素养。,单选,A,有理想、有道德、有文化、有纪律,有思想、有觉悟、有知识、有文化,有民主、有法治、有道德、有劳动,有理想、有诚信、有科学、有文化
